40.3,89.0,0.26,30,6,6,18,92,1110,2,6,35.2,77.3,35.3,
40.6,86.1,0.15,42,7,10,25,50,453,1,1,33.9,73.0,33.9,
70.6,95.1,0.17,9,2,7,0,25,201,3,9,66.5,71.5,66.8,
94.1,92.5,0.43,19,18,1,0,341,263,7,32,86.3,73.2,86.5,
63.0,83.4,0.63,8,3,5,0,45,133,0,6,50.4,72.4,50.4,
71.0,92.5,0.37,10,5,5,0,67,335,4,8,64.9,66.6,65.2,
38.4,78.0,1.29,26,3,12,11,774,4399,22,27,27.3,74.8,27.5,
549.4,937.1,7.78,500,89,115,296,4487,22715,97,260,446.7,807.0,448.8,

0.367170

48.0,89.8,0.52,24,3,16,5,272,2605,28,41,42.0,73.9,42.5,
40.8,69.3,1.88,28,6,12,10,1228,4015,27,50,22.3,73.5,22.7,
72.5,62.6,2.34,171,79,32,60,2342,1488,30,131,28.7,74.2,29.2,
16.7,82.6,0.26,133,5,23,105,220,5215,16,29,13.0,72.1,13.2,
51.0,88.0,0.36,30,9,8,13,129,910,6,12,43.8,76.7,44.0,
48.0,71.6,0.43,42,11,10,21,145,396,1,2,28.9,72.1,29.0,
66.9,94.6,0.18,9,2,6,1,26,226,2,8,62.8,71.5,63.0,
95.1,88.5,0.70,19,18,1,0,555,220,13,38,82.4,73.0,82.7,
63.0,83.4,0.63,8,3,5,0,45,133,0,6,50.4,72.4,50.4,
73.5,89.2,0.58,10,6,4,0,103,306,5,10,64.2,66.6,64.6,
53.6,62.5,3.83,26,5,17,4,2301,3311,37,46,20.9,74.1,21.4,
629.2,882.2,11.71,500,147,134,219,7366,18825,165,373,459.3,800.1,462.7,

0.389031

17.8,95.5,0.04,8,0,3,5,3,295,0,3,17.0,69.0,17.0,
63.0,87.9,0.44,8,3,5,0,31,133,0,6,54.3,72.4,54.3,
67.1,87.6,0.48,8,3,4,1,34,118,6,7,56.0,71.8,57.4,


67.4,84.0,0.65,8,3,5,0,46,117,7,7,52.6,71.6,54.3,
57.0,69.2,2.42,24,6,16,2,1271,2154,46,48,30.7,73.5,31.6,
49.9,60.1,3.44,28,7,11,10,2249,3398,26,60,16.4,73.1,16.7,


